lexemeId,lemma,category,categoryLabel,senses
http://www.wikidata.org/entity/L448076,obra,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448077,lontra,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448078,balança,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448079,nuvem,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448080,luz,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448082,conspiração,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448088,fábula,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448089,faculdade,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448090,universidade,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448091,instituição,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448093,fragata,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448094,coca,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448096,ponte,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L448097,arena,http://www.wikidata.org/entity/Q1084,noun,1
