lemma	posQid	pos	wikidata_id
naquele	Q126473	contraction	http://www.wikidata.org/entity/L523187
naquilo	Q126473	contraction	http://www.wikidata.org/entity/L523188
daquilo	Q126473	contraction	http://www.wikidata.org/entity/L524073
deste	Q126473	contraction	http://www.wikidata.org/entity/L524074
desse	Q126473	contraction	http://www.wikidata.org/entity/L524075
daquele	Q126473	contraction	http://www.wikidata.org/entity/L524076
-il	Q102047	suffix	http://www.wikidata.org/entity/L229800
patrono	Q34698	adjective	http://www.wikidata.org/entity/L474630
dum	Q126473	contraction	http://www.wikidata.org/entity/L476218
se	Q36484	conjunction	http://www.wikidata.org/entity/L646319
ao	Q126473	contraction	http://www.wikidata.org/entity/L490718
durante	Q4833830	preposition	http://www.wikidata.org/entity/L669655
