entry_id	entry_status	error
DLP-sobreacumulacao_1-e7052.xml	new	Entry ID with '.xml' at the end
DLP-custarda_1-2d381.xml	validated	Entry ID with '.xml' at the end
DLP-cover_1-41d0e.xml	new	Entry ID with '.xml' at the end
DLP-wigandia_1-9686f	new	empty <definition> in sense DLP-wigandia_1-9686f-1
DLP-rosa-de-gueldres_1-5045a	new	'[...]' <definition> in sense DLP-rosa-de-gueldres_1-5045a-1
DLP-galhofento_1-d6b09	new	'[...]' <definition> in sense DLP-galhofento_1-d6b09-1
DLP-lobo-da-terra_1-c16e8.xml	validated	Entry ID with '.xml' at the end
DLP-wilbrandia_1-5eda5	new	empty <definition> in sense DLP-wilbrandia_1-5eda5-1
DLP-kabbfussia_1-e74c9	new	empty <definition> in sense DLP-kabbfussia_1-e74c9-1
DLP-dostoievskiano_2-07fcf	new	'[...]' <definition> in sense DLP-dostoievskiano_2-07fcf-1
DLP-post_1-42b90.xml	new	Entry ID with '.xml' at the end
DLP-tralho_1-97338.xml	validated	Entry ID with '.xml' at the end
DLP-guilhotinacao_1-ae9f4.xml	new	Entry ID with '.xml' at the end
DLP-psicoativo_1-9e067.xml	new	Entry ID with '.xml' at the end
DLP-lb_1-26403.xml	new	Entry ID with '.xml' at the end
DLP-cantarino_1-55167.xml	new	Entry ID with '.xml' at the end
DLP-estatizante_1-fb11c	new	empty <definition> in sense DLP-estatizante_1-fb11c-1
DLP-negatoscopio_1-71e4c.xml	new	Entry ID with '.xml' at the end
DLP-covid_1-979d5.xml	edited	Entry ID with '.xml' at the end
DLP-nanometro_1-a426f.xml	new	Entry ID with '.xml' at the end
DLP-somalilandes_1-37e01	new	'[...]' <definition> in sense DLP-somalilandes_1-37e01-1
DLP-lexicography_1-93ae0	new	'[...]' <definition> in sense DLP-lexicography_1-93ae0-1
DLP-polimedicacao_1-d6081.xml	new	Entry ID with '.xml' at the end
DLP-coping_1-482f6.xml	new	Entry ID with '.xml' at the end
DLP-flirtar_1-c8e50.xml	edited	Entry ID with '.xml' at the end
DLP-blastoides_1-1a336	new	'[...]' <definition> in sense DLP-blastoides_1-1a336-1
DLP-cao-selvagem-africano_1-ffabe.xml	new	Entry ID with '.xml' at the end
DLP-magnetosfera_1-d27c4.xml	new	Entry ID with '.xml' at the end
DLP-austeniano_1-18167.xml	validated	Entry ID with '.xml' at the end
DLP-paspan_1-69f5c	new	'[...]' <definition> in sense DLP-paspan_1-69f5c-1
DLP-financiador_1-8587c.xml	new	Entry ID with '.xml' at the end
DLP-tobaguiano_1-b3871	new	'[...]' <definition> in sense DLP-tobaguiano_1-b3871-1
DLP-pre-catastrofe_1-412f1.xml	new	Entry ID with '.xml' at the end
DLP-tokonoma_1-8315a.xml	new	Entry ID with '.xml' at the end
DLP-portao_1-3ce50.xml	new	Entry ID with '.xml' at the end
DLP-decanter_1-52030.xml	validated	Entry ID with '.xml' at the end
DLP-pedopsicologico_1-bf8c3.xml	new	Entry ID with '.xml' at the end
DLP-ngondo_1-68286	new	'[...]' <definition> in sense DLP-ngondo_1-68286-1
DLP-diciclo_1-e4a63	new	'[...]' <definition> in sense DLP-diciclo_1-e4a63-1
DLP-hipocalorico_1-148a1.xml	validated	Entry ID with '.xml' at the end
DLP-sergiano_1-6c8a3.xml	validated	Entry ID with '.xml' at the end
DLP-catadioptrico_1-0d130.xml	new	Entry ID with '.xml' at the end
DLP-lulista_1-0e5a8	new	'[...]' <definition> in sense DLP-lulista_1-0e5a8-1
DLP-asfaltite_1-f221f	new	'[...]' <definition> in sense DLP-asfaltite_1-f221f-1
DLP-colaborativo_1-4891f.xml	new	Entry ID with '.xml' at the end
DLP-porta-soro_1-3a0ea.xml	new	Entry ID with '.xml' at the end
DLP-nanovacina_1-f9a56.xml	new	Entry ID with '.xml' at the end
